dir,u,v
d,2261469904,\vscale_0.imem_bridge.htrans
u,$flatten\vscale_0.\pipeline.\ctrl.$logic_and$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_ctrl.v:399$112_Y,2102738336
d,2102738336,\vscale_0.dmem_bridge.htrans
u,\vscale_0.pipeline.src_b_mux.alu_src_b,2157781883
u,\vscale_0.pipeline.src_a_mux.alu_src_a,2157781883
d,2157781883,$flatten\vscale_0.\pipeline.\alu.$sub$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_alu.v:25$13_Y
u,\vscale_0.pipeline.src_b_mux.alu_src_b [4:0],1220672455
u,\vscale_0.pipeline.src_a_mux.alu_src_a,1220672455
d,1220672455,$flatten\vscale_0.\pipeline.\alu.$sshr$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_alu.v:26$14_Y
u,\vscale_0.pipeline.src_b_mux.alu_src_b [4:0],2263806822
u,\vscale_0.pipeline.src_a_mux.alu_src_a,2263806822
d,2263806822,$flatten\vscale_0.\pipeline.\alu.$shr$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_alu.v:22$10_Y
u,\vscale_0.pipeline.src_b_mux.alu_src_b [4:0],3924317745
u,\vscale_0.pipeline.src_a_mux.alu_src_a,3924317745
d,3924317745,$flatten\vscale_0.\pipeline.\alu.$shl$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_alu.v:18$6_Y
u,\vscale_0.pipeline.src_b_mux.alu_src_b,1691081672
u,\vscale_0.pipeline.src_a_mux.alu_src_a,1691081672
d,1691081672,$flatten\vscale_0.\pipeline.\alu.$or$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_alu.v:20$8_Y
u,\vscale_0.pipeline.src_b_mux.alu_src_b,920202005
u,\vscale_0.pipeline.src_a_mux.alu_src_a,920202005
d,920202005,$flatten\vscale_0.\pipeline.\alu.$ne$/home/felix/Documents/rtl2uspec/multicore_vscale_rtl2uspec_ae/src/main/verilog/vscale_alu.v:24$12_Y
u,\vscale_0.pipeline.src_b_mux.alu_src_b,1480916592
u,\vscale_0.pipeline.src_a_mux.alu_src_a,1480916592
